	word	sentiment	sentiment_average
0	fear	-43.0918	-0.426651485
1	crash	-17.624	-0.275375
2	accid	-11.132	-0.412296296
3	kill	-11.0443	-0.649664706
4	problem	-9.125	-0.536764706
5	die	-9.0417	-0.322917857
6	bad	-9.0277	-0.300923333
7	fall	-7.1174	-0.263607407
8	car	-6.9167	-0.223119355
9	danger	-6.8527	-0.360668421
10	hate	-6.6804	-0.44536
11	anxiou	-6.6755	-0.5135
12	panic	-6.5579	-0.504453846
13	air	-6.3667	-0.129932653
14	death	-6.175	-0.686111111
15	wrong	-6.0316	-0.430828571
16	scar	-5.9214	-0.39476
17	emerg	-5.6847	-0.56847
18	irrat	-5.2204	-0.401569231
19	caus	-5.093	-0.282944444
20	high	-5.0221	-0.279005556
21	afraid	-4.5272	-0.161685714
22	terrifi	-4.093	-0.454777778
23	stop	-4.0244	-0.335366667
24	bodi	-3.9303	-0.327525
25	terribl	-3.8439	-0.549128571
26	aw	-3.7683	-0.75366
27	worri	-3.7659	-0.313825
28	risk	-3.5886	-0.398733333
29	injur	-3.501	-0.87525
30	land	-3.4441	-0.074871739
31	unlik	-3.4412	-0.573533333
32	stress	-3.4269	-0.380766667
33	metal	-3.415	-0.569166667
34	especi	-3.3996	-0.42495
35	new	-3.2701	-0.148640909
36	height	-3.2213	-0.292845455
37	lose	-3.1194	-0.31194
38	control	-3.0793	-0.096228125
39	commerci	-3.033	-0.1685
40	far	-2.9742	-0.29742
41	life	-2.9471	-0.196473333
42	fire	-2.9293	-0.732325
43	circumst	-2.9126	-0.72815
44	error	-2.912	-0.485333333
45	anxieti	-2.8121	-0.140605
46	like	-2.7136	-0.090453333
47	hurt	-2.6879	-0.53758
48	point	-2.6529	-0.241172727
49	drive	-2.615	-0.113695652
50	fail	-2.5961	-0.216341667
51	nervou	-2.5752	-0.183942857
52	serious	-2.571	-0.5142
53	remind	-2.5497	-0.50994
54	foot	-2.5474	-0.181957143
55	fatal	-2.5438	-0.50876
56	involv	-2.5106	-0.358657143
57	accident	-2.498	-0.832666667
58	hell	-2.4966	-0.49932
59	part	-2.4923	-0.138461111
60	horribl	-2.4733	-0.353328571
61	attack	-2.4601	-0.820033333
62	sever	-2.4386	-0.406433333
63	phobia	-2.4303	-0.40505
64	main	-2.4213	-0.48426
65	injuri	-2.3935	-0.398916667
66	explod	-2.3588	-0.786266667
67	frighten	-2.3588	-0.47176
68	total	-2.3162	-0.193016667
69	sick	-2.2988	-0.5747
70	fact	-2.2985	-0.135205882
71	kind	-2.2807	-0.175438462
72	face	-2.2504	-0.375066667
73	trap	-2.2477	-0.374616667
74	cry	-2.1818	-0.727266667
75	catastroph	-2.1625	-0.720833333
76	move	-2.1504	-0.21504
77	insan	-2.1247	-0.531175
78	hit	-2.1061	-0.526525
79	disast	-2.098	-0.699333333
80	respons	-2.0731	-0.2591375
